"year","month","accidents","fatalities"
1996,1,1421,146
1996,2,1468,141
1996,3,1512,116
1996,4,1870,157
1996,5,2199,158
1996,6,2366,186
1996,7,2484,218
1996,8,2380,292
1996,9,2240,205
1996,10,2124,189
1996,11,1930,171
1996,12,1781,178
1997,1,1625,137
1997,2,1605,123
1997,3,1831,138
1997,4,1810,188
1997,5,2003,160
1997,6,2378,199
1997,7,2776,254
1997,8,2408,228
1997,9,2047,172
1997,10,2130,204
1997,11,1869,166
1997,12,1813,136
1998,1,1706,156
1998,2,1615,147
1998,3,1672,137
1998,4,1895,163
1998,5,2098,170
1998,6,2459,188
1998,7,2738,242
1998,8,2579,275
1998,9,2210,204
1998,10,2303,199
1998,11,1801,137
1998,12,1743,164
1999,1,1809,142
1999,2,1528,126
1999,3,1687,146
1999,4,2020,196
1999,5,2098,167
1999,6,2259,189
1999,7,2490,237
1999,8,2409,233
1999,9,2113,155
1999,10,2060,189
1999,11,1858,158
1999,12,1900,178
2000,1,1581,124
2000,2,1569,142
2000,3,1792,138
2000,4,1872,180
2000,5,2035,162
2000,6,2293,185
2000,7,2376,201
2000,8,2224,244
2000,9,1961,174
2000,10,1788,164
2000,11,1760,167
2000,12,1750,156
2001,1,1489,139
2001,2,1496,155
2001,3,1768,126
2001,4,1559,152
2001,5,1753,139
2001,6,1786,153
2001,7,1900,188
2001,8,1738,200
2001,9,1734,186
2001,10,1750,174
2001,11,1431,152
2001,12,1267,116
2002,1,1117,97
2002,2,1277,97
2002,3,1449,125
2002,4,1322,109
2002,5,1507,156
2002,6,1618,175
2002,7,1663,198
2002,8,1421,157
2002,9,1411,141
2002,10,1500,133
2002,11,1326,117
2002,12,1198,129
2003,1,1197,111
2003,2,952,119
2003,3,1060,115
2003,4,1161,119
2003,5,1448,122
2003,6,1449,139
2003,7,1709,181
2003,8,1476,161
2003,9,1380,153
2003,10,1459,132
2003,11,1288,132
2003,12,1172,121
2004,1,1010,111
2004,2,1039,114
2004,3,1164,122
2004,4,1214,137
2004,5,1423,144
2004,6,1453,149
2004,7,1478,158
2004,8,1491,183
2004,9,1339,164
2004,10,1274,137
2004,11,1268,114
2004,12,1394,137
2005,1,1125,116
2005,2,1031,106
2005,3,1321,118
2005,4,1520,98
2005,5,1590,142
2005,6,1705,173
2005,7,1674,170
2005,8,1445,177
2005,9,1450,135
2005,10,1478,142
2005,11,1259,135
2005,12,1316,146
2006,1,1016,105
2006,2,1078,104
2006,3,1223,118
2006,4,1335,134
2006,5,1440,119
2006,6,1492,167
2006,7,1567,177
2006,8,1485,168
2006,9,1401,170
2006,10,1386,130
2006,11,1364,117
2006,12,1232,148
2007,1,1234,126
2007,2,1042,105
2007,3,1311,133
2007,4,1291,137
2007,5,1378,128
2007,6,1351,108
2007,7,1561,170
2007,8,1267,143
2007,9,1346,146
2007,10,1348,145
2007,11,1208,125
2007,12,1162,146
2008,1,965,104
2008,2,958,92
2008,3,1088,120
2008,4,1203,127
2008,5,1365,116
2008,6,1511,152
2008,7,1504,150
2008,8,1328,207
2008,9,1329,132
2008,10,1452,140
2008,11,1263,109
2008,12,1117,104
2009,1,1037,98
2009,2,1068,108
2009,3,1206,107
2009,4,1216,114
2009,5,1381,120
2009,6,1407,140
2009,7,1510,144
2009,8,1256,137
2009,9,1202,141
2009,10,1240,154
2009,11,1161,94
2009,12,1105,99
2010,1,1082,85
2010,2,1130,79
2010,3,1299,103
2010,4,1279,96
2010,5,1424,100
2010,6,1380,108
2010,7,1384,105
2010,8,1315,149
2010,9,1244,117
2010,10,1174,123
2010,11,1137,88
2010,12,1184,105
2011,1,964,67
2011,2,943,70
2011,3,965,85
2011,4,1152,85
2011,5,1184,71
2011,6,1363,106
2011,7,1382,130
2011,8,1235,119
2011,9,1216,112
2011,10,1166,106
2011,11,1124,93
2011,12,1155,97
2012,1,879,75
2012,2,705,60
2012,3,983,71
2012,4,1036,70
2012,5,1048,82
2012,6,1203,83
2012,7,1250,105
2012,8,1054,95
2012,9,1105,94
2012,10,1162,96
2012,11,1006,79
2012,12,967,78
2013,1,861,69
2013,2,800,55
2013,3,948,55
2013,4,1031,70
2013,5,1058,55
2013,6,1077,79
2013,7,1147,85
2013,8,1052,119
2013,9,1091,93
2013,10,1139,69
2013,11,938,67
2013,12,967,63
2014,1,860,54
2014,2,859,51
2014,3,893,50
2014,4,881,56
2014,5,1105,67
2014,6,1119,70
2014,7,1159,79
2014,8,1049,87
2014,9,929,72
2014,10,992,72
2014,11,877,63
2014,12,897,74
2015,1,762,57
2015,2,700,52
2015,3,770,55
2015,4,942,67
2015,5,1065,62
2015,6,1006,69
2015,7,1171,76
2015,8,1030,96
2015,9,970,64
2015,10,921,59
2015,11,1002,60
2015,12,1101,76
2016,1,810,64
2016,2,769,57
2016,3,864,54
2016,4,1043,68
2016,5,997,76
2016,6,1022,69
2016,7,1094,79
2016,8,923,81
2016,9,947,69
2016,10,989,84
2016,11,978,65
2016,12,882,58
2017,1,645,54
2017,2,757,56
2017,3,758,41
2017,4,886,51
2017,5,969,52
2017,6,998,63
2017,7,1050,73
2017,8,923,76
2017,9,1034,78
2017,10,1056,70
2017,11,857,52
2017,12,915,65
2018,1,778,38
2018,2,684,37
2018,3,890,69
2018,4,869,54
2018,5,866,53
2018,6,939,49
2018,7,1016,75
2018,8,931,70
2018,9,934,58
2018,10,1010,63
2018,11,955,63
2018,12,865,71
2019,1,676,44
2019,2,693,39
2019,3,839,39
2019,4,856,50
2019,5,978,65
2019,6,1024,74
2019,7,1073,70
2019,8,969,80
2019,9,917,70
2019,10,1020,63
2019,11,838,43
2019,12,829,51
2020,1,797,50
2020,2,853,44
2020,3,518,26
2020,4,312,23
2020,5,738,52
2020,6,898,50
2020,7,982,57
2020,8,878,68
2020,9,995,68
2020,10,912,65
2020,11,651,51
2020,12,549,30
2021,1,578,37
2021,2,527,31
2021,3,627,35
2021,4,740,36
2021,5,974,63
2021,6,984,49
2021,7,1204,74
2021,8,1019,69
2021,9,1049,73
2021,10,1047,48
2021,11,898,62
2021,12,807,47
2022,1,642,54
2022,2,708,31
2022,3,729,32
2022,4,946,59
2022,5,941,54
2022,6,1009,58
2022,7,923,68
2022,8,793,54
2022,9,991,63
2022,10,1025,73
2022,11,913,54
2022,12,867,54
