"year","month","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","environmental_taxes","vehicles","petrol_cons","ng_cons","el_cons","fatal_per_million_veh","speed_infr","drink_infr","belt_infr","helmet_infr","inflation_rate","gini_index"
1996,1,1421,146,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,2,1468,141,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,3,1512,116,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,4,1870,157,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,5,2199,158,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,6,2366,186,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,7,2484,218,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,8,2380,292,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,9,2240,205,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,10,2124,189,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,11,1930,171,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1996,12,1781,178,"100.664","9.489","426.8","10608821",NULL,"3797234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.2",NULL
1997,1,1625,137,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,2,1605,123,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,3,1831,138,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,4,1810,188,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,5,2003,160,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,6,2378,199,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,7,2776,254,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,8,2408,228,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,9,2047,172,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,10,2130,204,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,11,1869,166,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1997,12,1813,136,"111.193","10.430","426.3","10661312",NULL,"4048471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.5",NULL
1998,1,1706,156,"121.086","11.295","507.9","10720566",NULL,"4323118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.8",NULL
1998,2,1615,147,"121.086","11.295","507.9","10720566",NULL,"4323118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.8",NULL
1998,3,1672,137,"121.086","11.295","507.9","10720566",NULL,"4323118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.8",NULL
1998,4,1895,163,"121.086","11.295","507.9","10720566",NULL,"4323118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.8",NULL
1998,5,2098,170,"121.086","11.295","507.9","10720566",NULL,"4323118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.8",NULL
1998,6,2459,188,"121.086","11.295","507.9","10720566",NULL,"4323118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.8",NULL
