"year","month","week","accidents","fatalities"
1996,1,1,313,41
1996,1,2,322,32
1996,1,3,299,29
1996,1,4,327,32
1996,1,5,160,12
1996,1,6,NULL,NULL
1996,2,1,154,15
1996,2,2,326,32
1996,2,3,346,32
1996,2,4,386,34
1996,2,5,256,28
1996,2,6,NULL,NULL
1996,3,1,95,16
1996,3,2,328,32
1996,3,3,353,19
1996,3,4,316,26
1996,3,5,365,19
1996,3,6,55,4
1996,4,1,422,25
1996,4,2,481,47
1996,4,3,362,39
1996,4,4,409,28
1996,4,5,196,18
1996,4,6,NULL,NULL
1996,5,1,312,25
1996,5,2,512,45
1996,5,3,456,28
1996,5,4,539,36
1996,5,5,380,24
1996,5,6,NULL,NULL
1996,6,1,75,4
1996,6,2,579,46
1996,6,3,568,41
1996,6,4,535,38
1996,6,5,534,47
1996,6,6,75,10
1996,7,1,532,49
1996,7,2,597,45
1996,7,3,547,54
1996,7,4,516,43
1996,7,5,292,27
1996,7,6,NULL,NULL
1996,8,1,254,40
1996,8,2,597,60
1996,8,3,510,58
1996,8,4,495,72
1996,8,5,524,62
1996,8,6,NULL,NULL
1996,9,1,534,52
1996,9,2,526,42
1996,9,3,536,48
1996,9,4,510,46
1996,9,5,134,17
1996,9,6,NULL,NULL
1996,10,1,342,22
1996,10,2,483,39
1996,10,3,476,41
1996,10,4,481,49
1996,10,5,342,38
1996,10,6,NULL,NULL
1996,11,1,131,5
1996,11,2,455,44
1996,11,3,445,47
1996,11,4,449,34
1996,11,5,450,41
1996,11,6,NULL,NULL
1996,12,1,377,36
1996,12,2,398,36
1996,12,3,441,36
1996,12,4,418,58
1996,12,5,147,12
1996,12,6,NULL,NULL
1997,1,1,176,19
1997,1,2,347,31
1997,1,3,352,27
1997,1,4,413,36
1997,1,5,337,24
1997,1,6,NULL,NULL
1997,2,1,67,6
1997,2,2,387,20
1997,2,3,408,36
1997,2,4,405,39
1997,2,5,338,22
1997,2,6,NULL,NULL
1997,3,1,45,2
1997,3,2,437,40
1997,3,3,434,32
1997,3,4,376,20
1997,3,5,412,37
1997,3,6,127,7
1997,4,1,288,14
1997,4,2,393,39
1997,4,3,427,37
1997,4,4,443,61
1997,4,5,259,37
1997,4,6,NULL,NULL
1997,5,1,124,11
1997,5,2,392,33
1997,5,3,463,36
1997,5,4,522,38
1997,5,5,502,42
1997,5,6,NULL,NULL
1997,6,1,614,59
1997,6,2,502,29
1997,6,3,526,51
1997,6,4,573,50
1997,6,5,163,10
1997,6,6,NULL,NULL
1997,7,1,462,39
1997,7,2,616,69
1997,7,3,641,39
1997,7,4,621,78
1997,7,5,436,29
1997,7,6,NULL,NULL
1997,8,1,192,13
1997,8,2,579,60
1997,8,3,553,59
1997,8,4,512,31
1997,8,5,497,57
1997,8,6,75,8
1997,9,1,431,28
1997,9,2,523,47
1997,9,3,449,43
1997,9,4,461,37
1997,9,5,183,17
1997,9,6,NULL,NULL
1997,10,1,252,22
1997,10,2,510,56
1997,10,3,520,53
1997,10,4,491,48
1997,10,5,357,25
1997,10,6,NULL,NULL
1997,11,1,67,7
1997,11,2,416,35
1997,11,3,527,46
1997,11,4,397,32
1997,11,5,405,40
1997,11,6,57,6
1997,12,1,368,27
1997,12,2,410,35
1997,12,3,388,26
1997,12,4,435,32
1997,12,5,212,16
1997,12,6,NULL,NULL
1998,1,1,163,16
1998,1,2,387,41
1998,1,3,410,25
1998,1,4,379,43
1998,1,5,367,31
1998,1,6,NULL,NULL
1998,2,1,418,51
1998,2,2,365,29
1998,2,3,415,36
1998,2,4,417,31
1998,2,5,NULL,NULL
1998,2,6,NULL,NULL
1998,3,1,434,41
1998,3,2,371,27
1998,3,3,384,30
1998,3,4,328,27
1998,3,5,155,12
1998,3,6,NULL,NULL
1998,4,1,311,15
1998,4,2,419,23
1998,4,3,438,46
1998,4,4,410,54
1998,4,5,317,25
